Institution,AcademicYear,Buildings,FloorArea_m2,Energy_kWh,Water_m3,CarSpaces,CycleSpaces,RenewablesPct,Scope12_tCO2e
University of Cambridge,2019/20,378,743872.9,255757794,426953,3560,11120,4.8,53923.6
University of Cambridge,2020/21,383,725738.7,278229773,424785,3560,11120,8.8,55098.1
University of Cambridge,2021/22,389,738889.8,260058915,367600,3526,11200,0,49118.6
University of Cambridge,2022/23,379,736892.5,257272970,366717,3406,11200,0,50682.0
University of Cambridge,2023/24,375,771471.1,258580920,448158.1,3406,11400,0,51055.8
University of Cambridge,2024/25,372,771772.1,263887898,418409.2,3406,11400,0,47539.2
University of Durham,2015/16,313,362951.9,114153428,467377,3181,1562,0,30009.2
University of Durham,2016/17,312,356789.3,113078399,475893,3157,1562,0,27782.1
University of Durham,2017/18,314,369097.7,119678651,396530,3171,1523,0,26330.0
University of Durham,2018/19,379,382350.6,112549136,435748,2833,1523,35,23773.0
University of Durham,2019/20,389,388205.1,105135503,288260,3015,1846,33,21299.1
University of Durham,2020/21,386,424582,119277206,285659,3278,2061,31,23041.2
University of Durham,2021/22,393,421646.6,108498912.2,356219.4,3217,2061,24,20388.3
University of Durham,2022/23,329,408005.6,107041220,387765,3257,2066,0,20681.2
University of Durham,2023/24,427,378797.0,106110972,382539,3022,2086,0,20419.9
University of Durham,2024/25,431,398657.1,99431226,340829,3088,2424,9.7,17975.5
University of Edinburgh,2015/16,395,778617,243777807.2,562447,2901,4568,40,73365.3
University of Edinburgh,2016/17,399,785043,244235067.8,581265,2862,4995,26.6,68453.2
University of Edinburgh,2017/18,408,880930,255132568.5,508419.3,2803,5354,25.4,65718.1
University of Edinburgh,2018/19,434,877384,240910447,573025,2929,5678,36.7,61825.5
University of Edinburgh,2019/20,458,887032,259237062,441226,2535,5914,33.8,63016.5
University of Edinburgh,2020/21,458,919724,283752985.3,347297,2585,7582,30.5,64525.8
University of Edinburgh,2021/22,458,929082,282159945,381250,2495,7604,30.3,65070.0
University of Edinburgh,2022/23,480,931987,281200502,478925,2508,7942,28,62115.4
University of Edinburgh,2023/24,481,929985,284905537.0,369796,2508,8515,11.8,61200.1
University of Edinburgh,2024/25,476,931222,279883302,353682,2508,9089,9.1,56898.5
University of Exeter,2015/16,214,269752.4,61104727,266386.6,1991,,0,18521.2
University of Exeter,2016/17,213,279225.7,67381596.6,242980,1991,1610,0,18300.5
University of Exeter,2017/18,211,276090.9,67634939,234457,1986,1659,47.2,15956.7
University of Exeter,2018/19,213,279045.5,66050408.5,288298.6,1942,1689,47.6,14940.7
University of Exeter,2019/20,220,283550.4,62958093,328768.4,1936,1689,6.9,13494.9
University of Exeter,2020/21,221,284226.0,69024674.4,283289.2,1930,1689,41.4,13714.0
University of Exeter,2021/22,222,284257.4,74565775.1,406031.1,1846,1689,41.1,14168.1
University of Exeter,2022/23,247,304124.7,64575860.6,315385.5,1832,1912,49.1,12671.9
University of Exeter,2023/24,253,305299.7,69613087.3,439863.1,1815,3927,46.1,13584.7
University of Exeter,2024/25,253,299600.8,67037493.1,395540.8,1815,3927,25,11977.5
University of Glasgow,2015/16,297,387364.3,155245325.8,343969,2014,943,0,
University of Glasgow,2016/17,324,478853.1,145547667.1,293793,1797,959,0,39079.9
University of Glasgow,2017/18,323,487541.6,144946500,294272,1575,939,0,34843.9
University of Glasgow,2018/19,324,478584.6,129285173.2,256231,1632,985,0,29938.3
University of Glasgow,2019/20,319,473358.2,141348251.4,303238,1628,992,0,31050.1
University of Glasgow,2020/21,319,472725.2,138362992.2,232607.3,1483,1501,0,28859.9
University of Glasgow,2021/22,322,518509.1,141624710.9,269576,1598,1754,0,27666.5
University of Glasgow,2022/23,322,513238.6,143450931.1,296273,1535,1883,0,29005.5
University of Glasgow,2023/24,319,530601.9,125681328.3,283342,1513,2064,0,24402.6
University of Glasgow,2024/25,319,529193.2,158106494.9,223746,1511,2071,0,28762.6
University of Leeds,2015/16,319,569873,152417732,697754,2201,2346,0,45523.0
University of Leeds,2016/17,318,566464.1,161479380.0,758873.2,1991,2194,0,48478.5
University of Leeds,2017/18,301,555111.4,160097366.5,702015.6,1891,2214,0,45888.8
University of Leeds,2018/19,306,560962.1,175675909.4,701498.8,1893,2473,0,42411.5
University of Leeds,2019/20,359,576503.1,182113109.5,635172.9,1877,2612,0,43660.6
University of Leeds,2020/21,365,586550.6,183691562.1,630164.7,1881,2912,0,43565.3
University of Leeds,2021/22,366,619659.8,186200234.2,757973.8,2068,2912,41,43501.5
University of Leeds,2022/23,364,614739.6,173348203.2,803296.7,2068,2926,41,44412.7
University of Leeds,2023/24,347,619292.3,177150372.2,721483,2068,2926,41,44351.1
University of Leeds,2024/25,346,619010.8,168205342.4,641602,1983,2912,26,38046.9
University of Liverpool,2015/16,219,465605,198991964,320565,1870,713,100,40956.9
University of Liverpool,2016/17,213,474206,236895642,320914,1867,713,98,46212.2
University of Liverpool,2017/18,217,490206,206178530.3,321627.9,1900,745,7.6,43024.3
University of Liverpool,2018/19,216,488867,223189858.4,319348.0,1890,755,10.8,40803.7
University of Liverpool,2019/20,217,497985,153661827.8,294056,1890,755,8.8,39272.2
University of Liverpool,2020/21,216,489852,168708779,265681,1890,755,8.6,39147.8
University of Liverpool,2021/22,204,498076,205031871.2,316040.8,2741,755,8.8,38939.2
University of Liverpool,2022/23,204,498462,197532402.8,328241.6,2412,755,20.6,35073.0
University of Liverpool,2023/24,259,515464.2,192742692.5,317646.5,1791,755,18.3,34343.9
University of Liverpool,2024/25,234,514530,191948521.2,323194,1791,755,12.3,35941.1
University of Manchester,2015/16,228,876621,239372452.6,754314.5,3782,3000,0,67596.6
University of Manchester,2016/17,222,887985.2,233912862,807247.5,3767,3000,0,60233.3
University of Manchester,2017/18,219,878432.1,237358941.8,1125438.3,3669,3000,0,53838.8
University of Manchester,2018/19,211,884087.7,235523770.8,753244.9,3597,3000,0,50673.7
University of Manchester,2019/20,213,933790.9,241059625.7,670587.4,3597,3000,0,49377.1
University of Manchester,2020/21,217,940458.9,269289286.9,603511.0,3682,3000,0,52215.9
University of Manchester,2021/22,211,997957.0,256588606.6,690607.7,3674,3000,0,50197.5
University of Manchester,2022/23,202,889095.2,251904449.2,753082.8,3662,3000,0,53373.3
University of Manchester,2023/24,191,873719.4,221788306.5,651604.6,3662,3000,35.5,46852.3
University of Manchester,2024/25,190,868247.1,227916971.1,685990.9,3132,3000,35,45009.9
University of Nottingham,2015/16,363,646812.3,197970222.3,859124,4867,4907,0,55293.0
University of Nottingham,2016/17,353,646562,199062833,805338,4867,4951,0,50726.9
University of Nottingham,2017/18,364,667199.9,203767584,717542,4815,5097,0,46826.1
University of Nottingham,2018/19,367,673071.4,194315252.9,656375,5001,5157,0,42094.9
University of Nottingham,2019/20,418,678664.5,185363975,512636,5079,5162,0,38907.1
University of Nottingham,2020/21,455,682709.3,183259376,604552,4955,5162,0,37671.4
University of Nottingham,2021/22,454,689840.0,176302705,602996,4691,5162,0,34131.5
University of Nottingham,2022/23,461,717601.1,179045801,598786,4591,5131,0,34517.8
University of Nottingham,2023/24,465,716650.6,172124013.6,615933,4591,5189,0,33277.3
University of Nottingham,2024/25,379,727832.7,171845219,787713,4137,5189,0,30888.9
University of Oxford,2015/16,282,661663.7,205508249,440804,1861,4000,99,62717.1
University of Oxford,2016/17,236,608634,193620918.6,259901,1742,4238,100,53771.8
University of Oxford,2017/18,243,628321,221931727.5,326459.8,1721,4364,100,53079.4
University of Oxford,2018/19,248,643260,218529883,440350,983,4669,100,48970.7
University of Oxford,2019/20,248,643857,211853073,351421,2045,4670,100,44948.9
University of Oxford,2020/21,252,657720,239767886,484545,2045,4670,100,47676.9
University of Oxford,2021/22,255,666881,223307611.7,301691,1845,4820,100,42362.1
University of Oxford,2022/23,257,676125.1,228782142.7,298396,1845,4820,100,45006.6
University of Oxford,2023/24,258,670399.0,204819372,389695,1845,4820,100,40610.9
University of Oxford,2024/25,256,663397.1,217430395,389695,1845,5320,100,39462.7
University of Sheffield,2015/16,338,535460.5,133810332,488964.4,,,13.2,40350.3
University of Sheffield,2016/17,351,539404.8,131770558,464574.3,2035,2291,0,35549.4
University of Sheffield,2017/18,345,539787.4,137640547.7,482209.7,2200,2200,0,31945.4
University of Sheffield,2018/19,349,541966.0,134824740,433739,2340,2609,46.9,26266.0
University of Sheffield,2019/20,347,540037.3,122426529,399151,2391,2609,46.3,22530.9
University of Sheffield,2020/21,321,541216.0,125469287.5,372808.1,2388,2609,33.5,24529.4
University of Sheffield,2021/22,272,516433.6,131731800.9,418894.7,2341,2683,34.7,27971.1
University of Sheffield,2022/23,243,524719.7,134237463,453861,2556,2946,36.7,28700.1
University of Sheffield,2023/24,290,557232.2,130587397,488283,2528,2972,38,28339.6
University of Sheffield,2024/25,260,557663.2,124062906,374478,2459,2934,39,25566.7
University of South Wales,2015/16,128,215761.7,40055703.3,134666.3,3246,497,0,11573.8
University of South Wales,2016/17,130,220636.9,35520884.9,128841,3246,497,0,9439.8
University of South Wales,2017/18,129,192641.2,36523797.8,122892,3371,497,100,8408.9
University of South Wales,2018/19,129,220412.7,34957931.7,115624,3371,260,100,7527.4
University of South Wales,2019/20,84,208753.8,30320612.7,95912,2568,260,100,6298.9
University of South Wales,2020/21,91,184072.5,27751660.5,70226,2568,213,53.3,5382.6
University of South Wales,2021/22,91,184072.5,29932866.6,88940,2568,213,46,5556.3
University of South Wales,2022/23,85,180587.0,28852383.9,115466,2736,229,48,5361.8
University of South Wales,2023/24,84,182022.0,29894847.2,135355,2736,229,45,5597.4
University of South Wales,2024/25,83,159169.6,30184237,112814,2736,229,48,5344.5
University of Southampton,2015/16,399,437719.8,112507192,498012.9,3158,4130,,31655.8
University of Southampton,2016/17,414,438712,111501319.5,502985.8,3114,4154,,29465.7
University of Southampton,2017/18,402,431576.2,108891973.8,468074.1,2996,4154,,26861.7
University of Southampton,2018/19,403,443048.3,120585460.8,402333.6,3094,4364,,23952.1
University of Southampton,2019/20,,435475.9,95068449.0,351607.2,,,,22478.2
University of Southampton,2020/21,,441231.8,91961289,288587,,,,22131.7
University of Southampton,2021/22,,451840.3,98152919.1,400873,,,,22584.3
University of Southampton,2022/23,406,474677.6,100343899.6,373053.6,3253,6026,20.7,22609.4
University of Southampton,2023/24,365,475416.5,98385869.7,391395.5,2756,5986,23.8,21863.4
University of Southampton,2024/25,351,461473.4,99631755.8,365892.5,2658,6118,29.6,20489.6
University of Wales Trinity Saint David,2015/16,119,127947,25755469,54640,,,0,6693.1
University of Wales Trinity Saint David,2016/17,118,127845,25628134,63604,,,0,6143.8
University of Wales Trinity Saint David,2017/18,127,132237,25247111.7,50703,,,100,5531.4
University of Wales Trinity Saint David,2018/19,155,222745.9,24808391.6,36027.0,1415,170,100,5220.3
University of Wales Trinity Saint David,2019/20,119,141278.4,17786704.6,15599.7,1411,170,100,3512.6
University of Wales Trinity Saint David,2020/21,117,148919.3,19103513.0,23917.1,1435,182,100,3647.6
University of Wales Trinity Saint David,2021/22,117,143459.0,19184022.5,38710.3,1362,184,100,3593.5
University of Wales Trinity Saint David,2022/23,115,146762.2,18561974.4,34635.6,1362,184,0,3621.9
University of Wales Trinity Saint David,2023/24,111,146392.0,15948906.1,42261,1434,198,0,3095.9
University of Wales Trinity Saint David,2024/25,108,142673,14773831,62284,1427,198,0,2620.7
University of Warwick,2015/16,422,545497.8,149770083.1,565022.4,4245,2500,0,41019.6
University of Warwick,2016/17,423,493973.6,156889866.1,563182.4,5230,3000,0,39828.2
University of Warwick,2017/18,451,540256.0,171127190.2,589033.9,4980,3067,0,40790.9
University of Warwick,2018/19,455,571806.6,176765593.1,611511.8,5395,3185,0,40495.9
University of Warwick,2019/20,467,562786.8,163801649.2,527791.2,6315,3500,50,37795.2
University of Warwick,2020/21,432,565512.4,166473432.7,490188.2,6659,3600,50,38199.1
University of Warwick,2021/22,434,584629.9,168134829.0,538453.0,6640,3610,50,37949.5
University of Warwick,2022/23,418,579302.6,159854693.7,520835.2,6466,3700,0,37190.2
University of Warwick,2023/24,437,594795.9,158342429.2,525899.3,6169,3700,25.9,34196.6
University of Warwick,2024/25,436,589777.6,168405564.0,551666.4,6166,3650,30.1,33585.4
University of York,2015/16,242,364796,87154364.7,284584,2807,2996,,22139.2
University of York,2016/17,245,380912,89471475.2,301434.8,2449,3008,,22176.1
University of York,2017/18,301,419010,89532704.0,276060.8,2478,5348,,21622.6
University of York,2018/19,313,419010,89043801.1,286690,2366,5494,,20120.6
University of York,2019/20,328,419464.3,81252983.0,215143.8,2337,5555,,17429.4
University of York,2020/21,436,395054.2,91990053.2,206206.2,2492,6005,,19962.3
University of York,2021/22,436,384456.5,102506936.0,316742.7,1962,5555,,21371.2
University of York,2022/23,436,385148.1,99994102.9,326368,2191,5555,,21312.7
University of York,2023/24,434,378617.0,95091277.6,326119.5,2196,5555,,21240.2
University of York,2024/25,436,383658.0,86476146.9,326191.3,2196,5575,,21277.5
Wrexham University,2015/16,30,56629,12058887,24724,1368,72,60,3391.1
Wrexham University,2016/17,30,58204,11413156,34252,1368,72,60,2906.5
Wrexham University,2017/18,30,54763,12139515,17064,1368,72,50,2722.1
Wrexham University,2018/19,30,63554,11586662,29792,1368,72,36,2505.0
Wrexham University,2019/20,30,63554,10824149,25424,1368,72,36,2193.6
Wrexham University,2020/21,29,58593,10875985,17214,1384,72,33.4,2102.3
Wrexham University,2021/22,29,58593,10407853,23043,1340,72,38.8,1954.1
Wrexham University,2022/23,29,58593,10931637.7,21614,1340,72,38.6,2088.3
Wrexham University,2023/24,28,58073,10769830,26140,1340,72,38.8,2058.0
Wrexham University,2024/25,28,59974,10330513,21716,1340,72,40.7,1848.0
