response_id,date,time_slot,item,rating,spend,comment
R069,2026-03-10,Afternoon,Gluten-free,3,2.8,GF sold out before my seminar ended. Predictable by now.
R070,2026-03-06,Afternoon,Gluten-free,4,2.8,Honestly decent value for something made in front of you.
R071,2026-01-27,Lunch,Box of six,2,12.0,Card minimum of £5 forces me to buy three cakes. Clever. Annoying.
R072,2026-03-10,Afternoon,Gluten-free,3,2.8,"The gluten free one is great, stock more than a handful."
R073,2026-03-26,Afternoon,Vanilla,4,5.0,
R074,2026-04-09,Afternoon,Gluten-free,3,2.8,"Vegan Welsh cakes exist, I have seen them in the wild. Please."
R075,2026-02-02,Lunch,Gluten-free,3,2.8,"I would pay more for a bigger one, just saying."
R076,2026-04-09,Morning,Box of six,3,12.0,Hard to find unless you already know it is there.
R077,2026-03-11,Lunch,Vanilla,2,2.5,Queue again. Third time. Still joined it. Send help.
R078,2026-03-17,Afternoon,Plain,2,2.5,You could sell double the stock. You know it. We know it.
R079,2026-02-27,Afternoon,Gluten-free,2,2.8,1pm: empty. 1:05pm: still empty. Checked twice.
R080,2026-03-27,Afternoon,Box of six,3,12.0,Half my flat cannot eat these. Diversify the menu?
R081,2026-02-06,Afternoon,Vanilla,4,2.5,
R082,2026-03-20,Afternoon,Box of six,2,24.0,Afternoon customers exist! Save us a tray!
R083,2026-02-03,Lunch,Plain,3,2.5,"Worth every penny, fight me."
R084,2026-02-25,Afternoon,Vanilla,2,2.5,Sold out when I arrived. The sign said open. My heart said closed.
R085,2026-03-05,Lunch,Plain,2,2.5,15 minute wait for two cakes. Lovely cakes though.
R086,2026-03-17,Lunch,Vanilla,2,2.5,The 12:30 queue needs its own postcode.
R087,2026-03-17,Lunch,Plain,4,2.5,
R088,2026-03-04,Lunch,Vanilla,2,2.5,Ran out early on both my visits.
R089,2026-02-27,Lunch,Plain,2,2.5,"Queue put my friends off, they went to Cwtch Coffee."
R090,2026-02-02,Afternoon,Plain,3,2.5,Could you do Fridays? The one day I am on campus!
R091,2026-02-24,Lunch,Box of six,3,12.0,"Good value for the box of six, singles feel steep."
R092,2026-01-27,Afternoon,Vanilla,5,5.0,
R093,2026-02-25,Lunch,Gluten-free,2,2.8,Why bother opening until 3 if the cakes are gone at 1?
R094,2026-02-19,Morning,Plain,,2.5,
R095,2026-01-28,Lunch,Plain,5,2.5,
R096,2026-03-05,Lunch,Plain,2,2.5,Why is there no way to order ahead? The queue is wild.
R097,2026-02-16,Morning,Plain,3,2.5,"Too expensive for a daily habit, sadly."
R098,2026-03-03,Afternoon,Gluten-free,2,2.8,Third visit this week where everything was gone by early afternoon.
R099,2026-03-05,Lunch,Gluten-free,2,2.8,"Waited ages, then card machine queue on top. Sort it."
R100,2026-03-05,Lunch,Gluten-free,2,2.8,If I could preorder I would buy double the amount.
R101,2026-02-03,Morning,Plain,4,2.5,"Best thing on this campus, no notes."
R102,2026-03-13,Afternoon,Gluten-free,2,2.8,"Every time I have a late lunch, no cakes left."
R103,2026-02-16,Lunch,Plain,4,2.5,
R104,2026-03-04,Afternoon,Plain,2,2.5,"Turned up at 1:15, empty trays, sad walk to the library."
R105,2026-03-05,Afternoon,Box of six,2,12.0,"Gone by one o'clock. This is a capacity problem, not a marketing one."
R106,2026-01-30,Lunch,Plain,5,5.0,
R107,2026-02-12,Lunch,Plain,5,2.5,Bit dear compared to the supermarket six pack.
R108,2026-03-05,Afternoon,Box of six,3,12.0,Apple Pay please!
R109,2026-03-18,Lunch,Gluten-free,4,2.8,Price crept up this term. Noticed.
R110,2026-03-03,Morning,Vanilla,3,5.0,£2.50 for one cake is a lot on a student budget.
R111,2026-03-10,Afternoon,Vanilla,2,2.5,"Contactless failed, held everyone up, cash saved the day. In 2026!"
R112,2026-03-06,Lunch,Plain,3,2.5,"Great product, queue management non-existent."
R113,2026-03-18,Afternoon,Plain,3,2.5,The wait at peak is genuinely 15-20 minutes.
R114,2026-03-31,Lunch,Box of six,5,12.0,10/10 would queue again. Unfortunately.
R115,2026-03-12,Lunch,Vanilla,4,2.5,"More gluten free please, they go instantly."
R116,2026-03-17,Lunch,Vanilla,3,2.5,"Love the cakes, hate the queue, simple as."
R117,2026-04-10,Lunch,Gluten-free,4,2.8,Would buy more if there was a loyalty discount.
R118,2026-03-24,Morning,Vanilla,4,2.5,
R119,2026-03-06,Lunch,Gluten-free,2,2.8,Everything is great except the twenty minute wait.
R120,2026-02-12,Lunch,Vanilla,3,2.5,A pound more than the packaged ones but ten times better.
